"","X1","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","bright_t31","frp","res_mini_k$cluster"
"1",103,-38.986,-72.642,313.8,1,1,2016-11-17,1845,"Aqua","MODIS",64,303.2,7.1,1
"2",104,-40.307,-73.084,308.6,1.1,1,2016-11-17,1845,"Aqua","MODIS",28,298.5,5.1,51
"3",139,-40.302,-73.07,303,1.4,1.2,2016-11-17,1430,"Terra","MODIS",42,290.8,6.5,51
"4",140,-39.541,-72.963,301.8,1.4,1.2,2016-11-17,1430,"Terra","MODIS",42,291.8,6.1,2
"5",141,-39.539,-72.955,302,1.4,1.2,2016-11-17,1430,"Terra","MODIS",31,290.8,6.2,2
"6",142,-38.984,-72.638,307.3,1.4,1.2,2016-11-17,1430,"Terra","MODIS",58,296.6,8.2,1
"7",151,-39.419,-71.939,307.1,1.1,1,2016-12-26,335,"Terra","MODIS",70,267.8,15.3,8
"8",153,-40.303,-73.072,310,1.3,1.1,2016-12-29,1510,"Terra","MODIS",33,298.1,7.4,51
"9",154,-40.073,-72.87,309.9,1.3,1.1,2016-12-29,1510,"Terra","MODIS",41,299.2,7.7,35
"10",155,-39.454,-72.77,310.9,1.3,1.1,2016-12-29,1510,"Terra","MODIS",33,299.5,7.8,19
"11",156,-39.291,-72.229,313.3,1.4,1.2,2016-12-29,1510,"Terra","MODIS",31,299.8,10.6,41
"12",157,-38.985,-72.636,312.9,1.3,1.1,2016-12-29,1510,"Terra","MODIS",56,300.9,9.1,1
"13",239,-40.338,-72.948,304.1,1.3,1.1,2016-11-11,1510,"Terra","MODIS",58,291.1,6.9,39
"14",240,-40.074,-72.866,301.8,1.3,1.1,2016-11-11,1510,"Terra","MODIS",38,291.1,6.2,35
"15",241,-39.538,-72.965,302.2,1.3,1.1,2016-11-11,1510,"Terra","MODIS",39,291.8,5.6,2
"16",242,-39.371,-72.629,302.8,1.3,1.1,2016-11-11,1510,"Terra","MODIS",19,291.6,6.5,22
"17",243,-39.285,-72.233,305.9,1.4,1.2,2016-11-11,1510,"Terra","MODIS",16,292.8,7.2,41
"18",244,-39.104,-72.673,303.6,1.3,1.1,2016-11-11,1510,"Terra","MODIS",44,293.4,7,53
"19",245,-38.985,-72.646,305.6,1.3,1.1,2016-11-11,1510,"Terra","MODIS",26,293.3,6.4,1
"20",246,-38.988,-72.641,306.5,1.3,1.1,2016-11-11,1510,"Terra","MODIS",37,294,6.8,1
"21",276,-39.419,-71.935,323.6,1.1,1,2016-11-11,545,"Aqua","MODIS",100,267.7,31.5,8
"22",284,-39.366,-72.617,302.4,1.3,1.1,2016-12-13,1510,"Terra","MODIS",20,292.2,5.5,22
